source_index,source_name,normalized_name,longitude,latitude,geometry_status,description_status,image_url,image_status,style_url,folder,duplicate_name_status,duplicate_coordinate_status,notes
239,Nostro caffe,nostrocaffe,13.2067952,32.8835843,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
240,كافي لاتي,كافيلاتي,13.1990477,32.8832245,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
241,Alhofra Cafe - مقهي الحفرة,alhofracafeمقهيالحفره,13.1999886,32.8829778,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
242,ڤوگ كافيه ومطعم,ڤوگكافيهومطعم,13.1936468,32.8849836,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
243,كلاسيكو ساندوتش,كلاسيكوساندوتش,13.1929527,32.8851246,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
244,موندو جيلاتو - القادسية,موندوجيلاتوالقادسيه,13.1922962,32.8846595,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
245,GOULZ,goulz,13.1916874,32.885744,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
246,Ottimo Gusto Pizza & Pasta,ottimogustopizzapasta,13.1972392,32.8819118,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
247,مقهي كابو,مقهيكابو,13.1994485,32.8812321,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
248,مقهى الشيباني,مقهيالشيباني,13.1999391,32.8811972,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
249,Sage Cafe - ساج كافي,sagecafeساجكافي,13.199799,32.8812312,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
250,Costa Cafe,costacafe,13.2006697,32.8795841,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
251,SUGAR Ben Ashur,sugarbenashur,13.2015903,32.8787144,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
252,Al DENTE Cafe M Hanka,aldentecafemhanka,13.2005935,32.8793452,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
253,دجاج كنتاكي,دجاجكنتاكي,13.2006704,32.8793572,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
254,Miss cake sweet shop and cafe 2,misscakesweetshopandcafe2,13.2009594,32.8794763,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
255,كافي مدريد,كافيمدريد,13.2018585,32.8755149,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
256,العمو الجرابة,العموالجرابه,13.2026332,32.8756833,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
257,Bash Burger,bashburger,13.2030752,32.8757653,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
258,Pink Cafe,pinkcafe,13.2031199,32.8757834,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
259,THE MEATHOUSE,themeathouse,13.2032859,32.8758394,valid,available,,no_image,#icon-1567-558B2F-labelson,المقاهي,unique,unique,new_feature
