id,name_ar,name_en,facility_type_code,municipality_ar,longitude,latitude,match_status,data_quality_status,data_completeness_percent,source_image_status
LY-ACC-RES-NAT-00051,استرحات انيار المميزة,,review_required,,12.0035542,32.9847102,new_feature,low,14,no_image
LY-ACC-RES-NAT-00052,اقامة لونا,,review_required,,12.0034164,32.9806841,new_feature,low,14,no_image
LY-ACC-RES-NAT-00053,استراحة LAREN,,review_required,,12.0065542,32.9812015,new_feature,low,14,no_image
LY-ACC-RES-ZUW-00020,منتجع بالي زوارة/Bali village,,review_required,زوارة,12.0134408,32.982833,new_feature,low,21,no_image
LY-ACC-RES-NAT-00054,Sea room,,review_required,,12.0508497,32.9564477,new_feature,low,14,no_image
LY-ACC-RES-NAT-00055,Guest house,,review_required,,12.1091054,32.9266984,new_feature,low,14,no_image
LY-ACC-RES-NAT-00056,منتجع الملّاحة,,review_required,,12.123346,32.9153001,new_feature,low,14,no_image
LY-ACC-RES-ZUW-00021,مصيف أبناء الغالي العائلي-زوارة,,family_resort,زوارة,12.156653,32.8987647,new_feature,low,29,no_image
LY-ACC-RES-NAT-00057,استراحة فايق بكه,,review_required,,12.1522603,32.8915292,new_feature,low,14,no_image
LY-ACC-RES-ZUW-00022,قصر الضيافة زوارة,,review_required,زوارة,12.1708778,32.8895663,new_feature,low,21,no_image
LY-ACC-RES-NAT-00058,استراحة الشاطئ,,beach_resort,,12.1716251,32.8935766,new_feature,low,21,no_image
LY-ACC-RES-NAT-00059,استراحة دار الضيافة,,review_required,,12.1778747,32.883618,new_feature,low,14,no_image
LY-ACC-RES-ZUW-00023,استراحة فيرونا زوارة,,review_required,زوارة,12.1762961,32.8797646,new_feature,low,21,no_image
LY-ACC-RES-NAT-00060,استراحة نوفل,,review_required,,12.1195399,32.8886271,new_feature,low,14,no_image
LY-ACC-RES-ZUW-00024,شاطئ بحر زوارة,,review_required,زوارة,12.2166875,32.8686875,new_feature,low,21,no_image
LY-ACC-RES-NAT-00061,المصيف المفتوح تليل,,accommodation_resort_other,,12.3641883,32.8196211,new_feature,low,21,no_image
LY-ACC-RES-NAT-00062,مصيف مارينا تليل العائلي,,family_resort,,12.3873319,32.8166354,new_feature,low,21,no_image
